ac_number,constituency,region,winner_party_norm_2021,winner_party_norm_2026,margin_pct_2026
1,Gummidipundi,Chennai Metro,DMK,TVK,12.07
4,Thiruvallur,Chennai Metro,DMK,TVK,10.99
5,Poonamallee,Chennai Metro,DMK,TVK,23.67
6,Avadi,Chennai Metro,DMK,TVK,22.15
7,Maduravoyal,Chennai Metro,DMK,TVK,21.05
8,Ambattur,Chennai Metro,DMK,TVK,22.74
9,Madavaram,Chennai Metro,DMK,TVK,26.34
10,Thiruvottiyur,Chennai Metro,DMK,TVK,25.97
11,Dr. Radhakrishnan Nagar,Chennai Metro,DMK,TVK,27.49
12,Perambur,Chennai Metro,DMK,TVK,26.36
13,Kolathur,Chennai Metro,DMK,TVK,4.8
14,Villivakkam,Chennai Metro,DMK,TVK,12.29
15,Thiru-Vi-Ka-Nagar,Chennai Metro,DMK,TVK,15.58
16,Egmore,Chennai Metro,DMK,TVK,9.08
17,Royapuram,Chennai Metro,DMK,TVK,11.23
20,Thousand Lights,Chennai Metro,DMK,TVK,11.56
21,Anna Nagar,Chennai Metro,DMK,TVK,13.16
22,Virugampakkam,Chennai Metro,DMK,TVK,15.77
23,Saidapet,Chennai Metro,DMK,TVK,17.88
24,Theayagaraya Nagar,Chennai Metro,DMK,TVK,9.79
25,Mylapore,Chennai Metro,DMK,TVK,19.34
27,Shozhinganallur,Chennai Metro,DMK,TVK,21.74
28,Alandur,Chennai Metro,DMK,TVK,11.37
30,Pallavaram,Chennai Metro,DMK,TVK,19.39
31,Tambaram,Chennai Metro,DMK,TVK,12.85
32,Chengalpattu,Chennai Metro,DMK,TVK,11.05
36,Uthiramerur,North,DMK,TVK,6.28
37,Kancheepuram,North,DMK,TVK,6.32
40,Katpadi,North,DMK,TVK,2.9
41,Ranipet,North,DMK,TVK,2.63
43,Vellore,North,DMK,TVK,3.57
46,Gudiyatham,North,DMK,TVK,4.42
50,Tiruppattur,North,DMK,TVK,23.84
89,Salem (North),Central,DMK,TVK,6.7
92,Rasipuram,Central,DMK,TVK,7.12
93,Sendamangalam,Central,DMK,TVK,1.27
94,Namakkal,Central,DMK,TVK,5.2
96,Tiruchengode,Central,DMK,TVK,14.78
99,Erode (West),Kongu,DMK,TVK,10.11
114,Tiruppur (South),Kongu,DMK,TVK,7.2
136,Krishnarayapuram,Kongu,DMK,TVK,1.86
138,Manapparai,Delta,DMK,TVK,0.59
139,Srirangam,Delta,DMK,TVK,13.22
141,Tiruchirapalli (East),Delta,DMK,TVK,15.07
142,Thiruverambur,Delta,DMK,TVK,4.09
145,Musiri,Delta,DMK,TVK,9.28
146,Thuraiyur,Delta,DMK,TVK,5.23
147,Perambalur,Central,DMK,TVK,5.7
155,Cuddalore,Central,DMK,TVK,8.19
171,Kumbakonam,Delta,DMK,TVK,0.33
174,Thanjavur,Delta,DMK,TVK,8.58
185,Tiruppattur,South,DMK,TVK,0.0
187,Manamadurai,South,DMK,TVK,0.58
189,Madurai East,South,DMK,TVK,6.12
190,Sholavandan,South,DMK,TVK,1.42
191,Madurai North,South,DMK,TVK,11.2
192,Madurai South,South,DMK,TVK,15.28
193,Madurai Central,South,DMK,TVK,12.93
199,Periyakulam,South,DMK,TVK,9.21
201,Cumbum,South,DMK,TVK,0.36
202,Rajapalayam,South,DMK,TVK,5.82
206,Virudhunagar,South,DMK,TVK,5.63
214,Thoothukkudi,South,DMK,TVK,18.51
217,Ottapidaram,South,DMK,TVK,14.9
228,Radhapuram,South,DMK,TVK,6.17
