district,acs,flips,flip_pct,all_flipped
Ariyalur,2,2,100.0,True
Madurai,10,10,100.0,True
Nilgiris,3,3,100.0,True
Sivaganga,4,4,100.0,True
Tiruvallur,10,10,100.0,True
Vellore,13,12,92.3,False
Kanchipuram,11,10,90.9,False
Coimbatore,10,9,90.0,False
Chennai,16,14,87.5,False
Tirupur,8,7,87.5,False
Krishnagiri,6,5,83.3,False
Namakkal,6,5,83.3,False
Tiruchirappalli,9,7,77.8,False
Erode,8,6,75.0,False
Theni,4,3,75.0,False
Villupuram,11,8,72.7,False
Tirunelveli,10,7,70.0,False
Thoothukudi,6,4,66.7,False
Tiruvannamalai,8,5,62.5,False
Virudhunagar,7,4,57.1,False
Cuddalore,9,5,55.6,False
Karur,4,2,50.0,False
Perambalur,2,1,50.0,False
Thanjavur,8,4,50.0,False
Salem,11,5,45.5,False
Dindigul,7,3,42.9,False
Kanniyakumari,6,2,33.3,False
Pudukkottai,6,2,33.3,False
Ramanathapuram,4,1,25.0,False
Tiruvarur,4,1,25.0,False
Dharmapuri,5,1,20.0,False
Nagapattinam,6,1,16.7,False
