party_norm,votes,vote_share_pct
DMK,17430260,37.98
AIADMK,15402106,33.56
NTK,3041974,6.63
INC,1976710,4.31
PMK,1758774,3.83
BJP,1213510,2.64
MNM,1210337,2.64
AMMK,1085915,2.37
IND,643805,1.4
CPI,509672,1.11
VCK,457763,1.0
CPI(M),390819,0.85
IUML,222263,0.48
DMDK,200156,0.44
OTH,154640,0.34
BSP,101326,0.22
PT,39614,0.09
SDPI,28051,0.06
AISMK,6583,0.01
NCP,3371,0.01
AIMIM,3134,0.01
RPI(A),2510,0.01
SHS,1205,0.0
JD(S),1189,0.0
NPP,1187,0.0
LJP,970,0.0
AITC,963,0.0
SUCI,855,0.0
RJD,478,0.0
RSPS,361,0.0
SAMATAPART,291,0.0
SP,162,0.0
